15, 0, 15, 0, 15, 0, 15, 3, 12, 0, 1, 1, 1, 2
10, 2, 10, 2, 10, 2, 0, 2, 10, 2, 1, 1, 1, 0
20, 2, 0, 2, 20, 4, 20, 2, 20, 2, 2, 2, 1, 0
15, 2, 2, 0, 0, 3, 18, 2, 6, 3, 1, 2, 1, 3
18, 3, 18, 3, 18, 3, 18, 3, 18, 2, 1, 2, 1, 3
14, 3, 20, 2, 12, 2, 10, 2, 16, 4, 2, 1, 2, 2
6, 1, 6, 1, 0, 1, 6, 1, 6, 1, 1, 1, 2, 3
18, 2, 18, 2, 18, 2, 18, 2, 18, 2, 0, 2, 1, 3
17, 1, 17, 1, 17, 1, 17, 5, 17, 1, 0, 1, 2, 5
14, 3, 13, 3, 21, 3, 6, 3, 21, 3, 2, 2, 2, 4
15, 3, 15, 3, 15, 3, 15, 3, 15, 3, 1, 2, 1, 4
13, 0, 13, 0, 13, 0, 9, 0, 13, 0, 1, 2, 1, 3
7, 0, 7, 0, 7, 0, 7, 1, 7, 0, 1, 1, 1, 2
21, 3, 19, 3, 21, 3, 20, 3, 21, 3, 2, 1, 2, 4
21, 0, 7, 0, 19, 5, 19, 1, 21, 0, 2, 2, 2, 4
19, 0, 19, 0, 14, 0, 19, 0, 19, 3, 1, 2, 1, 4
8, 3, 8, 3, 8, 3, 0, 3, 8, 3, 1, 2, 2, 5
15, 0, 15, 0, 15, 0, 15, 4, 15, 0, 1, 2, 1, 4
21, 0, 21, 0, 15, 0, 4, 0, 1, 0, 1, 2, 2, 3
15, 2, 15, 2, 15, 2, 15, 2, 15, 2, 1, 2, 1, 4
