14, 2, 12, 5, 12, 1, 1, 1, 18, 5, 1, 1, 2, 2
20, 1, 5, 0, 10, 2, 16, 3, 15, 0, 1, 2, 2, 4
1, 1, 3, 2, 10, 3, 2, 1, 3, 2, 0, 1, 3, 1
1, 1, 21, 1, 1, 3, 6, 0, 1, 0, 1, 1, 2, 6
21, 0, 0, 4, 0, 3, 5, 2, 0, 3, 0, 0, 3, 0
8, 4, 0, 1, 21, 2, 4, 4, 5, 4, 0, 0, 1, 2
1, 0, 8, 0, 2, 4, 1, 4, 2, 5, 1, 0, 3, 2
13, 2, 13, 2, 8, 4, 4, 2, 17, 3, 2, 2, 2, 1
8, 5, 21, 1, 1, 3, 6, 0, 0, 1, 0, 1, 1, 3
21, 3, 16, 4, 21, 3, 3, 0, 11, 2, 1, 2, 2, 4
21, 0, 0, 1, 2, 0, 4, 5, 3, 4, 1, 2, 0, 6
2, 4, 6, 5, 8, 1, 21, 4, 1, 5, 0, 1, 1, 6
17, 5, 16, 4, 2, 3, 12, 5, 13, 4, 2, 2, 1, 1
14, 3, 7, 2, 6, 3, 12, 5, 21, 0, 2, 2, 1, 1
14, 5, 16, 4, 9, 3, 16, 3, 0, 0, 2, 1, 1, 0
7, 4, 18, 3, 16, 4, 13, 5, 10, 2, 1, 2, 1, 0
5, 3, 20, 1, 21, 5, 21, 4, 18, 2, 2, 1, 1, 0
7, 2, 21, 3, 12, 2, 15, 5, 19, 5, 2, 1, 2, 2
19, 4, 12, 2, 11, 2, 21, 2, 16, 2, 0, 1, 2, 4
21, 5, 2, 5, 21, 5, 0, 3, 0, 5, 1, 1, 0, 4
17, 1, 14, 3, 9, 0, 21, 5, 2, 1, 1, 2, 2, 5
21, 3, 8, 0, 21, 2, 21, 5, 0, 5, 0, 1, 1, 4
1, 5, 3, 1, 0, 4, 11, 4, 6, 3, 0, 1, 1, 0
8, 2, 21, 4, 3, 4, 0, 2, 8, 5, 0, 0, 0, 3
0, 4, 2, 2, 3, 0, 3, 1, 12, 3, 0, 2, 1, 2
16, 2, 9, 0, 9, 4, 0, 0, 20, 3, 0, 1, 2, 2
5, 0, 9, 2, 15, 0, 0, 1, 9, 2, 2, 2, 2, 2
21, 2, 0, 3, 6, 3, 1, 0, 7, 0, 0, 0, 2, 6
4, 4, 2, 1, 21, 3, 1, 4, 14, 3, 0, 0, 3, 6
3, 2, 18, 4, 15, 4, 15, 5, 14, 1, 1, 2, 1, 3
